Country,Blumarine: (8/10/22 - 8/10/23)
Italy,100
Albania,59
Romania,30
Azerbaijan,22
Russia,22
Serbia,17
Bulgaria,17
Belarus,15
Ukraine,14
Greece,11
Kazakhstan,10
Switzerland,9
Hong Kong,8
Croatia,8
United Arab Emirates,8
South Korea,7
Spain,7
Austria,7
United Kingdom,6
Portugal,6
Australia,6
Germany,5
France,5
Belgium,5
United States,5
Netherlands,5
Canada,5
Poland,4
Israel,4
Denmark,4
Sweden,4
Malaysia,4
Saudi Arabia,3
Brazil,2
Taiwan,2
Mexico,2
Japan,2
Philippines,2
TÃ¼rkiye,2
Thailand,2
Argentina,1
Vietnam,1
Indonesia,1
India,0.5
