Country,Maison Margiela: (8/10/22 - 8/10/23)
Hong Kong,100
Georgia,73
Singapore,59
Japan,58
China,53
Taiwan,40
Denmark,28
Estonia,28
Romania,26
Australia,25
United Kingdom,24
Latvia,24
Sweden,20
Switzerland,20
New Zealand,20
United States,19
Netherlands,19
Russia,19
Lithuania,18
Belarus,18
Italy,18
Austria,17
Ireland,17
South Korea,16
Canada,16
United Arab Emirates,16
Malaysia,16
Ukraine,16
Belgium,15
Finland,15
Germany,15
France,14
Poland,13
Norway,13
Czechia,13
Bulgaria,12
Croatia,12
Kazakhstan,11
Slovakia,11
Spain,10
Portugal,10
Greece,9
Philippines,9
Hungary,9
Israel,8
Serbia,8
Vietnam,7
Thailand,7
Mexico,6
South Africa,6
Chile,6
Indonesia,5
Saudi Arabia,4
TÃ¼rkiye,2
Colombia,2
Brazil,2
Argentina,2
India,1
