geoName,Maison Margiela,MM6,Diesel,Diesel fashion,Blumarine,Blumarine fashion
Albania,0,0,0,0,100,0
Algeria,0,0,100,0,0,0
Angola,100,0,0,0,0,0
Argentina,94,6,100,0,100,0
Australia,88,12,100,0,100,0
Austria,92,8,100,0,100,0
Azerbaijan,0,0,0,0,100,0
Bangladesh,0,0,100,0,0,0
Belarus,93,7,0,0,100,0
Belgium,84,16,100,0,100,0
Bolivia,0,0,100,0,0,0
Brazil,75,25,100,0,100,0
Bulgaria,91,9,100,0,100,0
Canada,86,14,100,0,100,0
Chile,0,0,100,0,0,0
China,86,14,0,0,100,0
Colombia,92,8,100,0,0,0
Costa Rica,0,0,100,0,0,0
Croatia,0,0,99,1,100,0
Czechia,88,12,100,0,100,0
Denmark,89,11,100,0,100,0
Dominican Republic,0,0,100,0,0,0
Ecuador,0,0,100,0,0,0
Egypt,100,0,0,0,0,0
Estonia,100,0,0,0,0,0
Finland,88,12,100,0,0,0
France,84,16,100,0,100,0
Georgia,95,5,0,0,0,0
Germany,88,12,100,0,100,0
Greece,86,14,100,0,100,0
Guatemala,0,0,100,0,0,0
Hong Kong,76,24,0,0,100,0
Hungary,85,15,100,0,100,0
India,83,17,100,0,100,0
Indonesia,94,6,100,0,100,0
Ireland,90,10,100,0,100,0
Israel,100,0,0,0,100,0
Italy,82,18,100,0,100,0
Japan,31,69,100,0,100,0
Kazakhstan,100,0,0,0,100,0
Kenya,0,0,100,0,0,0
Kuwait,100,0,0,0,0,0
Latvia,100,0,0,0,100,0
Lithuania,81,19,0,0,100,0
Macao,76,24,0,0,0,0
Malaysia,95,5,100,0,100,0
Mexico,89,11,100,0,100,0
Morocco,0,0,100,0,0,0
Netherlands,86,14,100,0,100,0
New Zealand,91,9,100,0,0,0
Nigeria,0,0,100,0,0,0
Norway,87,13,100,0,0,0
Pakistan,0,0,100,0,0,0
Paraguay,0,0,100,0,0,0
Peru,0,0,100,0,0,0
Philippines,94,6,100,0,100,0
Poland,91,9,100,0,100,0
Portugal,92,8,100,0,100,0
Romania,94,6,100,0,100,0
Russia,92,8,100,0,100,0
Saudi Arabia,100,0,100,0,100,0
Serbia,100,0,97,3,100,0
Singapore,94,6,100,0,100,0
Slovakia,83,17,100,0,0,0
South Africa,0,0,100,0,100,0
South Korea,69,31,100,0,100,0
Spain,91,9,100,0,100,0
Sri Lanka,0,0,100,0,0,0
Sweden,89,11,100,0,100,0
Switzerland,86,14,100,0,100,0
Taiwan,87,13,0,0,100,0
Thailand,92,8,100,0,100,0
Tunisia,0,0,100,0,0,0
TÃ¼rkiye,88,12,100,0,100,0
Ukraine,93,7,100,0,100,0
United Arab Emirates,94,6,100,0,100,0
United Kingdom,92,8,100,0,100,0
United States,91,9,100,0,100,0
Uruguay,0,0,100,0,0,0
Uzbekistan,0,0,0,0,100,0
Venezuela,0,0,100,0,0,0
Vietnam,92,8,100,0,100,0
