geoName,Maison Margiela,maison margiela jeans,MM6,MM6 jeans
Australia,88,0,12,0
Austria,91,0,9,0
Belarus,96,0,4,0
Belgium,82,0,18,0
Brazil,75,0,25,0
Bulgaria,89,0,11,0
Canada,86,0,14,0
China,86,0,14,0
Colombia,91,0,9,0
Czechia,86,0,14,0
Denmark,88,0,12,0
Egypt,100,0,0,0
Estonia,100,0,0,0
Finland,90,0,10,0
France,84,0,16,0
Georgia,94,0,6,0
Germany,87,1,12,0
Greece,85,0,15,0
Hong Kong,76,0,24,0
Hungary,86,0,14,0
India,84,0,16,0
Indonesia,94,0,6,0
Ireland,90,0,10,0
Israel,100,0,0,0
Italy,81,1,18,0
Japan,31,0,69,0
Kazakhstan,100,0,0,0
Kuwait,100,0,0,0
Latvia,100,0,0,0
Lithuania,80,0,20,0
Malaysia,95,0,5,0
Mexico,89,0,11,0
Netherlands,86,0,14,0
New Zealand,92,0,8,0
Norway,87,0,13,0
Philippines,94,0,6,0
Poland,91,0,9,0
Portugal,89,0,11,0
Romania,94,0,6,0
Russia,92,0,8,0
Saudi Arabia,100,0,0,0
Serbia,100,0,0,0
Singapore,93,0,7,0
Slovakia,81,0,19,0
South Korea,69,0,31,0
Spain,91,0,9,0
Sweden,90,0,10,0
Switzerland,86,0,14,0
Taiwan,87,0,13,0
Thailand,91,0,9,0
TÃ¼rkiye,87,0,13,0
Ukraine,93,0,7,0
United Kingdom,90,1,9,0
United States,88,2,10,0
Vietnam,93,0,7,0
